Designator,Mid X,Mid Y,Rotation,Layer
C1,165.8,-70.65,90.0,top
C10,200.425,-78.85,0.0,bottom
C11,191.8,-79.3,0.0,bottom
C12,196.75,-79.45,90.0,bottom
C13,196.35,-82.8,270.0,bottom
C14,205.2,-92.15,180.0,bottom
C15,177.425,-101.35,270.0,bottom
C16,175.625,-101.35,270.0,bottom
C17,165.25,-100.2,0.0,bottom
C18,151.75,-90.225,90.0,bottom
C19,158.758983,-108.874463,270.0,top
C2,167.6,-70.65,90.0,top
C20,160.458983,-108.874463,270.0,top
C21,178.75,-70.5,0.0,bottom
C22,205.2,-94.35,180.0,bottom
C23,155.0,-89.85,270.0,top
C24,153.2,-89.85,270.0,top
C25,156.0,-99.75,0.0,top
C26,152.4,-97.025,90.0,top
C27,157.4,-96.95,270.0,top
C3,165.9,-78.8,90.0,top
C4,172.75,-72.75,90.0,bottom
C5,201.125,-92.1,0.0,bottom
C6,201.125,-90.35,0.0,bottom
C7,201.125,-88.6,0.0,bottom
C8,201.125,-86.85,0.0,bottom
C9,200.425,-80.6,0.0,bottom
D1,161.3,-100.2,180.0,bottom
D10,190.85,-75.15,0.0,bottom
D3,146.25,-79.95,90.0,bottom
D6,206.15,-76.6,180.0,bottom
D8,137.8,-83.0,90.0,bottom
D9,194.1,-75.45,180.0,bottom
F1,203.4,-83.1,270.0,bottom
FB1,200.025,-76.95,0.0,bottom
FL10,192.85,-77.05,270.0,bottom
FL11,191.45,-76.75,90.0,bottom
FL12,182.425,-102.075,270.0,bottom
FL13,194.35,-89.25,0.0,top
FL14,191.6,-89.25,0.0,top
FL16,153.25,-73.8,180.0,top
FL17,151.075,-75.75,180.0,top
FL18,151.075,-77.0,180.0,top
FL2,167.5,-118.45,0.0,top
FL3,176.5,-117.5,270.0,top
FL4,180.0,-117.45,270.0,top
FL5,178.2,-92.5,0.0,top
FL6,206.6,-88.85,90.0,top
FL7,188.0,-89.25,0.0,top
FL8,171.2,-89.05,180.0,top
FL9,179.35,-99.4,90.0,bottom
IC1,172.45,-100.2,0.0,bottom
IC2,154.9,-96.8,0.0,top
J1,184.85,-118.1,90.0,top
J2,206.225,-80.0,90.0,top
J3,147.9875,-89.925,270.0,top
J4,193.58,-71.6,0.0,top
J5,148.525,-100.25,270.0,top
J6,142.258983,-117.574463,270.0,top
J7,141.3,-95.25,270.0,top
J8,146.75,-72.05,180.0,top
L1,170.25,-118.0,270.0,top
L10,192.4,-91.45,180.0,top
L2,175.0,-117.0,0.0,top
L3,178.5,-117.0,0.0,top
L4,181.0,-92.15,270.0,top
L5,188.9,-91.45,180.0,top
L6,171.2,-91.25,180.0,top
L7,176.425,-98.35,270.0,bottom
L8,180.225,-103.15,270.0,bottom
L9,195.2,-91.45,180.0,top
PS1,200.075,-83.6,90.0,bottom
R1,175.25,-71.5,180.0,bottom
R10,154.75,-79.75,180.0,top
R11,178.75,-74.0,0.0,bottom
R12,178.75,-72.25,180.0,bottom
R13,159.75,-85.0,0.0,top
R14,163.5,-85.0,180.0,top
R2,165.9,-75.5,270.0,top
R3,145.5,-81.5,180.0,bottom
R4,175.25,-74.0,180.0,bottom
R5,168.5,-99.4,180.0,bottom
R6,168.5,-101.0,0.0,bottom
R7,172.25,-116.15,0.0,top
R8,168.75,-116.15,0.0,top
R9,154.75,-81.75,180.0,top
S2,140.7625,-81.5,270.0,top
U1,192.6,-84.05,180.0,bottom
U3,178.3,-77.56,0.0,top
U4,151.758983,-111.074463,180.0,top
U5,154.75,-90.125,180.0,bottom
U6,157.8,-90.05,0.0,top
